,alpha_hat,atom,baseline_hat,infinite_norm_of_diff_rel_kernel_0,initializer,lower,m_hat,n_iter,per_atom,sigma_hat,threshold,upper,infinite_norm_of_diff_rel_kernel_1,infinite_norm_of_diff_rel_kernel_2,infinite_norm_of_diff_rel_kernel_6
13,[0. 0.],1.0,0.37221740387395197,,smart_start,0.03,"[0.36240000000000205, 0.308888888888891]",400.0,0.0,"[0.13436772099148075, 0.14225694020692317]",20.0,0.5,"[0.8109727427047757, 0.4321565659961622]",,
14,[1.02502284 0.        ],2.0,0.29767161009385973,,smart_start,0.03,"[0.0866460205021009, 0.31151515151515274]",400.0,0.0,"[0.007545223761459865, 0.14405641176438827]",20.0,0.5,,"[0.4025906714500374, 2.1627030707299837]",
15,[0.         0.75745604],6.0,0.30328971511772446,,smart_start,0.03,"[0.32044444444444764, 0.1882537371482083]",400.0,0.0,"[0.09714339661640738, 0.01350534480015971]",20.0,0.5,,,"[1.2277506092271204, 0.27826209874056035]"
16,[0.04912686 0.        ],0.0,1.441444798539657,"[0.12676895142505437, 0.73634445063627]",smart_start,0.03,"[0.09755272432577505, 0.4399999999999978]",400.0,0.0,"[0.10724986762320549, 1e-05]",30.0,0.5,,,
17,[0. 0.],1.0,0.35776235906331305,,smart_start,0.03,"[0.36240000000000205, 0.303137254901963]",400.0,0.0,"[0.13436772099148075, 0.14433290580127128]",30.0,0.5,"[0.8183087980545872, 0.3765388352778646]",,
18,[0.9538288 0.       ],2.0,0.2337916458976967,,smart_start,0.03,"[0.08681649789331701, 0.31041666666666723]",400.0,0.0,"[0.007657361094750433, 0.15273376891396967]",30.0,0.5,,"[0.29309999816454074, 1.4839908520618263]",
19,[0.         0.74047524],6.0,0.26514731565192173,,smart_start,0.03,"[0.3174358974359006, 0.18824262968090377]",400.0,0.0,"[0.10319804084599084, 0.013753327822787818]",30.0,0.5,,,"[0.9475836618766516, 0.2259089388308315]"
20,[0.05951925 0.        ],0.0,1.3926341013866188,"[0.11444152249341721, 0.7451005568435648]",smart_start,0.03,"[0.009921398134316861, 0.4399999999999977]",400.0,0.0,"[0.19759049882231192, 1e-05]",40.0,0.5,,,
21,[0. 0.],1.0,0.3288522694420352,,smart_start,0.03,"[0.3736111111111133, 0.31958333333333444]",400.0,0.0,"[0.12515884968439478, 0.1324233268725704]",40.0,0.5,"[0.8329809087542102, 0.26530337384126945]",,
22,[0.88100595 0.        ],2.0,0.19967525851414364,,smart_start,0.03,"[0.08654632562312588, 0.30622222222222273]",400.0,0.0,"[0.007859886082086471, 0.15684796444524376]",40.0,0.5,,"[0.16187853491691254, 1.1215108590717167]",
23,[0.         0.71066469],6.0,0.21199871770016132,,smart_start,0.03,"[0.31818181818182206, 0.18819713198209417]",400.0,0.0,"[0.11126784170960702, 0.013931494083642448]",40.0,0.5,,,"[0.5571918498079736, 0.16011336803652926]"
24,[0.07702107 0.04083898],0.0,1.3116187211659318,"[0.09846240805020956, 0.7170862643817807]",smart_start,0.03,"[0.07928752160182612, 0.8443932401565888]",400.0,0.0,"[0.14279922508863327, 0.15536605986837937]",50.0,0.5,,,
25,[0.06863222 0.        ],1.0,0.2784342590155041,,smart_start,0.03,"[0.4653568628185046, 0.32222222222222335]",400.0,0.0,"[0.016757505471131615, 0.13635827898192754]",50.0,0.5,"[0.014616041643153483, 0.07131329190175983]",,
26,[0.82380062 0.        ],2.0,0.1320790336851211,,smart_start,0.03,"[0.08616531792912699, 0.29466666666666586]",400.0,0.0,"[0.007829868616670158, 0.15696567211406692]",50.0,0.5,,"[0.07881004953784791, 0.40331409261120615]",
27,[0.         0.65203671],6.0,0.16300489278479904,,smart_start,0.03,"[0.32296296296296767, 0.18776489042404787]",400.0,0.0,"[0.12168005450892333, 0.01371328512049311]",50.0,0.5,,,"[0.19731804643419545, 0.07685004981219845]"
